Machine_ID,Factory_ID,Production_Line,Machine_Type,Installation_Year,Temperature_C,Vibration_mm_s,Pressure_bar,Voltage_V,Current_A,Humidity_Percent,Noise_dB,RPM,Torque_Nm,Power_kW,Runtime_Hours,Downtime_Hours,Production_Count,Utilization_Percent,Maintenance_Cost_USD,Ambient_Temperature,Air_Quality_Index,Dust_Level,Failure_Flag,Failure_Type,Days_To_Failure,Criticality_Level,Last_Maintenance_Date,Maintenance_Type,Maintenance_Team,Spare_Parts_Replaced,Timestamp,Day_of_Week,Month,Quarter,Energy_Consumption_kWh,Efficiency_Score,Battery_Backup_Status,Sensor_Health_Score,Predictive_Risk_Score,Remaining_Useful_Life
M04687,F009,4,Robot,2017,116.06,9.26,5.98,427.28,196.46,30.57,113.27,2785,689.33,366.13,25284.36,3825.16,81594,43.55,9607.0,29.7,221,32.42,0,Motor Failure,43,Critical,2024-01-14 01:23:00,Inspection,Team_6,0,2024-03-20 01:23:00,Wednesday,3,1,7395.34,54.73,Unavailable,72.81,72.36,1653
M00120,F002,4,Conveyor,2021,85.64,18.03,4.83,291.47,25.64,60.73,116.43,3099,334.54,294.84,40970.9,199.41,52441,40.92,1399.97,24.38,62,78.7,0,Overheating,87,Critical,2023-08-22 01:40:00,Inspection,Team_19,1,2024-02-06 01:40:00,Tuesday,2,1,4786.15,64.12,Unavailable,85.49,25.77,446
M03686,F083,15,Lathe,2017,80.18,18.82,7.89,434.93,23.55,44.42,52.3,4408,114.25,188.25,42290.74,2993.33,95876,77.82,15394.12,17.15,274,7.15,0,Power Failure,200,Low,2023-12-15 04:45:00,Emergency,Team_13,10,2024-05-14 04:45:00,Tuesday,5,2,5988.89,64.27,Available,89.99,98.86,1979
M02931,F038,3,Conveyor,2015,85.96,17.86,6.89,256.59,52.89,43.0,75.16,4300,20.72,321.29,43695.96,3199.62,53074,79.32,18284.25,14.47,245,69.8,0,,144,High,2024-05-15 13:47:00,Corrective,Team_4,0,2024-08-17 13:47:00,Saturday,8,3,9858.8,60.13,Unavailable,88.42,42.42,503
M00878,F004,9,Conveyor,2012,97.91,11.05,4.74,455.24,92.74,60.65,88.86,1906,874.93,309.19,40273.5,4261.92,10075,87.62,16017.34,14.53,196,91.16,0,Power Failure,332,High,2025-06-25 23:26:00,Preventive,Team_3,13,2025-11-22 23:26:00,Saturday,11,4,9964.26,67.29,Available,73.78,99.32,1809
M03775,F086,1,Lathe,2016,69.48,7.6,14.22,306.79,163.36,71.45,81.98,852,807.75,296.28,31401.96,1897.82,14295,59.93,4881.83,42.11,96,9.99,0,Power Failure,353,Low,2023-03-07 23:09:00,Emergency,Team_19,10,2023-06-22 23:09:00,Thursday,6,2,5893.3,83.36,Available,72.71,96.7,415
M03757,F002,5,Compressor,2018,79.68,13.53,13.15,382.51,166.16,69.14,111.28,3396,48.14,363.77,32585.07,4770.12,62943,93.7,14710.81,29.98,29,1.12,0,,3,High,2024-09-28 09:23:00,Inspection,Team_16,14,2024-10-30 09:23:00,Wednesday,10,4,8779.39,83.19,Available,61.67,24.93,759
M02265,F036,4,Conveyor,2016,42.06,0.42,11.45,326.5,155.32,30.49,83.56,3344,72.96,292.61,30756.89,1412.75,58945,80.05,188.28,32.27,134,6.07,0,Power Failure,10,Medium,2024-02-16 07:48:00,Inspection,Team_12,0,2024-05-13 07:48:00,Monday,5,2,2228.15,54.27,Available,80.51,63.58,251
M03254,F014,4,Lathe,2021,20.63,13.38,10.78,288.13,35.54,46.51,113.77,1392,747.66,160.55,43534.37,3696.42,14250,81.42,19930.11,21.18,124,17.67,0,Overheating,284,Medium,2024-03-30 05:48:00,Corrective,Team_13,9,2024-04-04 05:48:00,Thursday,4,2,7881.9,76.14,Unavailable,94.69,91.25,235
M03477,F013,5,Pump,2011,87.99,18.91,4.09,212.31,53.32,86.97,97.45,4269,963.77,171.54,26622.01,286.8,32232,91.6,19872.9,44.18,109,99.82,0,Sensor Fault,66,Medium,2023-06-14 08:46:00,Emergency,Team_19,13,2023-11-20 08:46:00,Monday,11,4,4362.14,72.63,Unavailable,89.31,45.82,1353
